Game_Title,Consoles,ESRB_Rating,Content_Descriptors,Interactive_Elements,Content_Summary
B-PROJECT RYUSEI*FANTASIA,Nintendo Switch,T,"Language,Mild Suggestive Themes",No Interactive Elements,"This is a visual novel in which players follow the story of a young A&R staff member dealing with members of an idol pop group. As players progress through the story, players learn about artists'' trainee days and the struggles they faced on the path to success. A handful of sequences can reference suggestive material (e.g., “It doesn''t feel like sparkling glass, or ''Oh no, you perv''""; “You''re sparkly, pervy, and stabby”; “Pinning the girl against the wall, lifting her chin, running your fingers through her hair…""; “You seduce the regular at the tea room...and end up fooling around with her.”). The words “sh*t” and “a*shole” appear in the game."
Arsène Lupin - Once A Thief,"PlayStation 5, Nintendo Switch",E10+,"Alcohol Reference,Mild Blood,Mild Language,Mild Violence,Use of Tobacco",No Interactive Elements,"This is an adventure game in which players follow the thief Arsene Lupin and detective Ganimard through puzzles and storylines. From a 3/4-overhead perspective, players interact with characters, deduce clues, and solve puzzles to progress the narrative. In one sequence, audio can be heard of characters fighting; one still image briefly depicts a man with a bloody bandage. One close-up image depicts a man smoking a pipe. The text in the game references alcohol (e.g., “liquor collection,” ""wine bottle”; “I''d hate to see a bottle of such fine wine go to waste.”). The word “hell” appears in the game."
Test Drive Unlimited Solar Crown,"Windows PC, PlayStation 5, Xbox Series",E10+,Lyrics,"Users Interact (PC,Xbox Series,PlayStation 5)","This is a racing game, set on the island of Hong Kong, in which players race through streets and other open-world environments. Players can explore the island while engaging in races to build reputation and earn money. Some song lyrics contain the words ""Goddamn,"" ""hell,"" and “a*s.”"
Lollipop Chainsaw RePOP,"PlayStation 5, Nintendo Switch, Xbox Series",M,"Blood and Gore,Drug Reference,Intense Violence,Sexual Themes,Strong Language",No Interactive Elements,"This is an action game in which players assume the role of Juliet Starling, a zombie-hunting cheerleader on a quest to uncover the root of a zombie outbreak. Players use chainsaws, explosive rounds, and special attacks (e.g., cheerleading routine moves; mowing down enemies with a crop harvester) to kill zombies in frenetic melee-style combat. Some attacks are highlighted by slow-motion effects and close-up camera angles; exaggerated blood splashes, dismemberment, and decapitation occur frequently. Cutscenes also depict over-the-top acts of violence: a zombie boss shooting himself in the head; characters getting sliced in half by chainsaws; Juliet punting a decapitated head in slow motion. Several jokes in the dialogue reference sexual material (e.g., “[She] had backdoor sex with over three hundred sailors""; “I regret those three b*kkake videos”; “I am so totally gonna masturbate to you tonight”; “Is it normal to have an erection as you die?”). Some sequences allude to drugs/drug use (e.g., “eight foot piles of cocaine”; “psilocybin-munching moron”). The words “f**k,” “sh*t,” and “c*cksucker” appear in the game."
Just Dance 2025 Edition,"PlayStation 5, Nintendo Switch, Xbox Series",E10+,Mild Lyrics,"Users Interact (Switch,Xbox Series,PlayStation 5)In-Game Purchases (Switch,Xbox Series,PlayStation 5)","This is a music-rhythm game in which players perform choreographed routines by following the movements of on-screen characters. Players score points by accurately dancing in time to the music and scrolling indicators. A handful of song lyrics contain the word “hell,” as well as references to suggestive material (e.g., “Yeah we hooked up""; “Lucky that my breasts are small""; ""I don''t like no whips and chains/And you can''t tie me down""; “The dirty talking it turns to play”)."
Pathfinder: Kingmaker - Definitive Edition,"PlayStation 4, Xbox One",T,"Blood and Gore,Language,Suggestive Themes,Use of Alcohol,Violence",No Interactive Elements,"This is a role-playing game in which players assume the role of a hero leading a group of adventurers on a quest through a fantasy world. From a 3/4-overhead perspective, players explore the land and engage in melee-style combat against human enemies and fantastical creatures (e.g., giant spiders, manticores). Characters use swords, bows, explosives, and magic spells to defeat enemies in combat. Battles are frenetic at times, accompanied by large blood-splatter effects that stain the environment; some attacks result in enemies exploding into chunks of flesh and bones. As players progress, they can engage in romantic relations with other companions; text/commands within these sequences can often be suggestive: “You could walk around naked bouncing your boobs“; Hold Octavia in return, putting your hand on her breast”; “But I only got dressed…Now you''ll have to help me take it all off again.” Players can also interact with drunken characters with slurred speech (e.g., “You don''t re… Hic…Really need me.”). The words “sh*t” and “a*shole” are heard in the game."
KEMCO RPG Selection Vol. 1,"PlayStation 5, Nintendo Switch",T,"Alcohol Reference,Fantasy Violence,Mild Suggestive Themes","In-Game Purchases (Switch,PlayStation 5)","This is a collection of four role-playing games in which players assume the roles of heroes on their respective journeys. From a ¾-overhead perspective, players search for treasure, interact with characters, and battle fantastical enemies (e.g., dragons, snakes, fairies, rock creatures). Players can choose physical attacks and magic spells from a menu to defeat enemies in turn-based combat. The dialogue contains references to suggestive material (e.g., “She''s a little more filled out than you”; “Let me go, you pervert! Deviant! Groper”; “More like I feel I''ve been facially molested by a cat”; “Hands off the merchandise, you.”). Some attack moves also include the names Pervert and You''re all Perverts. In one scene, players encounter a character described as an alcoholic and a passed-out drunk, with accompanying text (e.g., “She reeks of homebrew…and is wasted at that”; “Someone''s got to lay the smack down on this drunk”; “I think she''s had way too much to drink…”). The game also contains a quest to find whiskey for a character."
Harry Potter: Quidditch Champions,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",T,"Crude Humor,Fantasy Violence,Language,Mild Blood","Users Interact (PC,PlayStation 4,Xbox One,Switch,Xbox Series,PlayStation 5)In-Game Purchases (PC,PlayStation 4,Xbox One,Switch,Xbox Series,PlayStation 5)","This is an action game in which players compete in games of the fantasy game Quidditch. Broom-riding players can shift between players and positions during each game; one club-wielding defensive position (Beater) involves tackling opponents or hitting them with a ball (Bludger). Players'' health bars deplete after each tackle/hit; successful hits or tackles result in dizzy stars/brief stunning effects. One of the victory celebrations (Bludger Hit) depicts a character hit in the face, with a tooth and blood trail flying out from the mouth. Another victory celebration (Puking Pastilles) shows a character vomiting. The word “sh*t” appears in the game."
Funko Fusion,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox Series",T,"Blood,Fantasy Violence,Language",No Interactive Elements,"This is a third-person action game in which players help whimsical Funko figures liberate Funko World from an evil villain. Players explore game worlds from various franchises (e.g., Jurassic World, The Mummy, Jaws) while battling cartoony Funko creatures (e.g., dinosaurs, zombies, mummies). Players use machine guns, shotguns, and rifles to defeat enemies that break apart into pieces when defeated. Battles are fast-paced, accompanied by gunfire, explosions, and cries of pain. Some sequences depict more impactful instances of blood and violence: a crime scene with decapitated Funko characters in pools of blood; a shark repeatedly chomping down on a victim, resulting in large blood stains; a character decapitated, accompanied by large blood-splatter effects. One sequence depicts a Funko character with raised middle fingers."
Spectre Divide,Windows PC,T,"Blood,Mild Language,Violence",Users Interact (PC)In-Game Purchases (PC),"This is a first-person shooter in which players compete in 3-on-3 competitive gunplay matches. Players either attack or defend, planting electromagnetic pulse devices or using various weapons. Players use pistols, shotguns, sniper rifles, and explosives to kill opponents. Combat is fast-paced and highlighted by realistic gunfire, explosions, and cries of pain. Characters emit splashes of blood when shot and killed. The word “a*s” is heard in the game."
Until Dawn,"Windows PC, PlayStation 5",M,"Blood and Gore,Intense Violence,Sexual Themes,Strong Language",No Interactive Elements,"This is a survival-horror adventure game in which players help eight friends survive a serial killer at a mountain retreat. As players progress through the game, they explore environments while choosing action/decision paths via on-screen prompts. Some choices can lead to depictions of intense violence and/or gore: characters shot in the head; characters cut in half by saw blades; characters disemboweled or decapitated; characters getting their fingers sliced. Large blood-splatter effects occur as characters are killed or injured; blood stains also appear in the environment and around corpses. The game includes sexual material in the dialogue (e.g., “Let''s party like we''re f**king porn stars”; ""I mean if you''re not gonna b*ng her""; “We are going to have sex!”); players can flip through a Kama Sutra book, depicting illustrations of sexual positions with descriptions; one scene depicts a woman performing a striptease for a man, removing her clothes down to her undergarments. The word “f**k” appears in the game."
Petit Island,"PlayStation 5, Nintendo Switch, Xbox Series",E,No Descriptors,No Interactive Elements,"This is an adventure game in which players relive their grandfather''s youthful adventures on a distant island. Players can interact with characters, discover hidden treasures, and take photos of nostalgic spots on the island."
Faith: The Unholy Trinity,Nintendo Switch,T,"Blood and Gore,Drug Reference,Language,Suggestive Themes,Violence",No Interactive Elements,"This is a survival horror game in which players follow a priest trying to save a Connecticut community from demon possession during the 1980s. From a top-down perspective, players move small 8-bit characters around locations while searching for clues, solving puzzles, and exorcising demons. Cutscenes depict more close-up sequences of violence: a man stabbing himself in the eye; a creature chewing on a corpse''s flesh; police shooting a man repeatedly; a man using a syringe to stab a character. Several pixelated scenes depict bloodstained walls, floors, and/or corpses. The game contains some suggestive material: a reference to “child prostitute runaways”; a bloated naked figure, though with no discernible detail (i.e., no genitalia). Text also references drugs (e.g., “hooked on crack cocaine""). The English word ""whore"" and the Spanish word “p*ndejo” appear in the game."
Skinny & Franko: Fists of Violence,PlayStation 4,M,"Blood and Gore,Nudity,Sexual Themes,Strong Language,Use of Drugs,Violence",No Interactive Elements,No Rating Summary
Arcade Paradise VR,PlayStation 5,T,"Blood,Fantasy Violence,Language",In-Game Purchases (PlayStation 5),"This is an arcade simulation game in which players assume the role of a laundromat-arcade owner in the early 90s. In addition to washing/drying clothes, fixing machines, and collecting revenue, players can play dozens of arcade games. Games can include instances of violence: top-down shooters in which characters shoot zombies or alien robots; side-scrolling brawlers/”beat-''em-ups,"" with characters punching/kicking enemies; 2D space shooters; action racing games in which players evade police. While arcade games are stylized and pixelated, some depict explosions, gunfire, and blood-splatter effects. Accompanying song lyrics contain references to drugs (e.g., “Watch me pick and roll a blunt...""; ""...already half blazed""; ”“Tell me how the Mary Jane taste when you smoke it”; “Chronic in the bong and we light it up”); the word ""sh*t"" can be heard in one song."
Mario & Luigi Brothership,Nintendo Switch,E,Mild Fantasy Violence,No Interactive Elements,"This is an adventure platformer/role-playing game in which players control Mario and Luigi through an adventure on strange islands. From a 3D top-down perspective, players explore islands, solve puzzles, and fight cartoony enemies (e.g., onion creatures, turtle skeletons, giant plants). Combat is turn-based, with players selecting moves before watching characters take turns attacking/defending. Characters mostly use mallets, oversized bombs, and turtle shells to attack, while also jumping on enemies'' heads."
Ufouria 2: The Saga,"PlayStation 5, Nintendo Switch",E,"Crude Humor,Mild Fantasy Violence",No Interactive Elements,"This is an adventure platformer in which players assume the role of a penguin attempting to thwart a villain''s evil plans. As players traverse whimsical environments, they defeat enemies by jumping on their heads or throwing creatures called Popoons at them. Boss battles include more protracted combat against larger enemies and are sometimes accompanied by slow-motion effects. One bird enemy is seen flying overhead, dropping cartoony poo coils."
The Sims™ 4 Lovestruck,"Macintosh, Windows PC, PlayStation 4, Xbox One",T,"Crude Humor,Sexual Themes,Violence","Online Interactions Not Rated by the ESRB (MAC,PC,PlayStation 4,Xbox One)",No Rating Summary
The Sims™ 4 Lovestruck,Xbox Series,T,"Crude Humor,Sexual Themes,Violence",Users Interact (Xbox Series)In-Game Purchases (Xbox Series),No Rating Summary
Assault Suits Valken DECLASSIFIED,Nintendo Switch,E10+,"Fantasy Violence,Mild Language",No Interactive Elements,No Rating Summary
Dead Rising Deluxe Remaster,"Windows PC, PlayStation 5, Xbox Series",M,"Blood and Gore,Intense Violence,Language,Use of Alcohol","In-Game Purchases (PC,Xbox Series,PlayStation 5)","This is an action-horror game in which players assume the role of Frank West, a photojournalist trapped in a mall overrun by zombies. As players traverse through the mall, they can help other survivors to safety and use variety of weapons (e.g., firearms, swords, hammers) and tools (e.g., chainsaws, giant drills, lawnmowers) to kill hordes of zombies. Red blood-splatter effects occur frequently as zombies are dismembered and decapitated. Players can also encounter and battle deranged human enemies that are killing other survivors. Cutscenes depict intense instances of violence: a clown landing on a pair of chainsaws; a man shooting himself in the head; a man setting himself on fire; a man impaled through the eye with a sword. During the course of the game, players'' character can drink various alcoholic beverages (e.g., wine) to regain energy; players also encounter a drunken character along the way. The words “sh*t,” “p*ssy,” and “a*shole” are heard in the dialogue."
Potionomics: Masterwork Edition,"PlayStation 5, Nintendo Switch, Xbox Series",E10+,"Crude Humor,Drug Reference,Mild Language,Suggestive Themes,Use of Alcohol",No Interactive Elements,"This is a simulation game in which players assume the role of a woman who runs a potion shop. Players brew and sell potions, interact with characters, and engage in dialogue sequences that are occasionally suggestive (e.g., “Do you think you can handle all this?”/“Oh I can handle it. In fact I''d like to”/“You thirsty thing.”). Some characters are also depicted wearing revealing outfits (e.g., deep cleavage). One interaction references animal excrement in a comical manner (e.g., “Is that…a poop journal”; “Corsac unceremoniously sticks a finger into the mound of excrement”; “Oh, it''s still warm.”). The game contains tongue-and-cheek comments about fantastical potion ingredients (e.g., Hallucinatory Shroom, Delirium Shroom, Pandemonium Shroom): ""This fungus is said to show you colors that don''t exist""; ""The magic of this mushroom is real. Any visions it induces are not""; ""Open your third eye to the universe''s truths, man."" Players sometimes interact with a drunk character with slurred speech. The words “damn” and “hell” appear in the game."
