Game_Title,Consoles,ESRB_Rating,Content_Descriptors,Interactive_Elements,Content_Summary
Towerborne,"Windows PC, Xbox Series",T,"Fantasy Violence,Mild Blood","In-Game Purchases (PC,Xbox Series)","This is an action-adventure game in which players assume the role of a warrior tasked with protecting humanity from monsters. From both 2.5D and ¾-overhead perspectives, players explore the world, interact with characters, and battle fantastical enemies (e.g., lizard-like, fungus-like, rodent-like creatures). Players use swords, staffs, knives, and gauntlets to attack enemies in melee-style combat. Battles can be frenetic, accompanied by impact sounds, colorful light effects, and cries of pain. Some attacks cause a bleed effect on players/enemies, resulting in spurts of blood emitted from characters'' bodies."
Taiko no Tatsujin: Rhythm Festival,Windows PC,E,No Descriptors,In-Game Purchases (PC),"This is a rhythm game in which players match on-screen prompts to play drums or engage in drum-themed mini-games. Players earn points by accurately matching cues as on-screen characters perform activities (e.g., playing drums, inflating balloons)."
Dungeons of Hinterberg,Windows PC,E10+,"Alcohol Reference,Animated Blood,Fantasy Violence,Language",No Interactive Elements,"This is an adventure role-playing game in which players assume the role of a lawyer exploring dungeons in an alpine village. Players explore the village, interact with characters, solve puzzles, and slay fantastical creatures. Players use swords and magic spells to attack enemies (e.g., tar-like monsters) in melee-style combat. Battles can be frenetic at times, accompanied by impact sounds and light effects. Enemies generally burst into a liquid-like effect when defeated. The text in the game occasionally references alcohol (e.g., “roaring songs of drunk adventures”; “Monsterblood Schnaps”; ""craft beer shop“; ""massive hangover”). The word ""p*ssed"" appears in the game."
Hell Let Loose,"PlayStation 5, Xbox Series",M,"Blood and Gore,Violence","Users Interact (Xbox Series,PlayStation 5)","This is a first-person shooter in which players fight to the death across the western front of World War II. Players use pistols, machine guns, sniper rifles and explosives to kill enemy soldiers in realistic combat. When in close proximity, players are able to stab enemy soldiers in the chest. Fighting is occasionally frenetic, though players generally hunt down enemies over various environments (e.g., battlefields, trenches, abandoned buildings). Combat is highlighted by screams of pain, blood-splatter effects, and explosions. Some weapons/explosives cause enemies to explode into body parts and blood; a handful of sequences depict dismembered/mutilated corpses lying in blood pools."
Predator: Hunting Grounds,"PlayStation 5, Xbox Series",M,"Blood and Gore,Drug Reference,Intense Violence,Partial Nudity,Strong Language","Users Interact (Xbox Series,PlayStation 5)In-Game Purchases (Xbox Series,PlayStation 5)","This is a first-/third-person shooter in which players engage in combat missions as either a mercenary soldier or an alien Predator. Most missions involve infiltrating areas (e.g., camps, jungle outposts, villages) in order to obtain intel or destroy targets. Players use pistols, machine guns, chain guns, and explosives to kill enemies in frenetic firefights. Combat is highlighted by frequent gunfire, screams of pain, and blood-splatter effects. Some explosive weapons cause bodies to burst into chunks of flesh/limbs. The Predator can use blades and laser weapons to decapitate enemies. As the Predator, players can also perform execution-style finishing moves on soldiers; the victims'' skulls and spines get ripped from their bodies. Some scenes depict skinned corpses with exposed buttocks. One mission prompts players to locate packages of drugs in a compound and to eventually burn them. The words “f**k” and “sh*t” appear in the dialogue."
STAR WARS Jedi: Survivor™,"PlayStation 4, Xbox One",T,"Mild Language,Violence",No Interactive Elements,"This is an action-adventure game in which players assume the role of an outlaw Jedi on the run from the galactic Empire. From a third-person perspective, players explore alien planets while using their Jedi powers to traverse environments and battle enemies in melee-style combat. Players use lightsabers to slash and break apart alien creatures, droids, and humanoid enemies. Combat is fast paced, with cries of pain, impact sounds, and large explosions. Some sequences depict characters getting impaled through the chest. The words “a*s” and “bastard” are heard in the game."
Let''s School,"PlayStation 5, Nintendo Switch",E,Mild Language,No Interactive Elements,"This is a simulation game in which players assume the role of a new headmaster trying to revive his former school. From a 3/4-overhead perspective, players can raise the school''s reputation by creating and managing facilities, decorating classrooms, and managing teacher-student dynamics. The word “damn” appears in the game."
FANTASIAN Neo Dimension,"Windows PC, PlayStation 5, Nintendo Switch, Xbox Series",E10+,"Fantasy Violence,Mild Blood,Mild Suggestive Themes,Use of Alcohol and Tobacco",No Interactive Elements,"This is a role-playing in which players assume the role of a treasure hunter on a quest to regain his lost memory. As players explore a fantasy world, they interact with characters, recruit party members, and engage human enemies and fantasy creatures (e.g., golem, giant skeletons, robot sentries) in turn-based combat. Players can choose weapon strikes and magic spells from a menu; battles are highlighted by light bursts and screen-shaking effects. One boss creature has blood streaks on its mask and armor; still-screen images depict blood drops on the ground and dripping from a character''s face. A handful of female characters are designed with suggestive features (e.g., deep cleavage, slight breast jiggle). During the course of the game, players can encounter drunk characters; a background image depicts a character smoking a cigar."
EA SPORTS™ Madden NFL 25,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series",E,Mild Lyrics,"Users Interact (PC,PlayStation 4,Xbox One,Xbox Series,PlayStation 5)In-Game Purchases (Includes Random Items) (PC,PlayStation 4,Xbox One,Xbox Series,PlayStation 5)","This is a football simulation game in which players select from real NFL rosters to play games of football. Players can create and run plays, arrange playbooks, improve skills, and create/manage a franchise. The words “damn” and “hell” can be heard in a handful of songs."
Elrentaros Wanderings,Nintendo Switch,T,"Fantasy Violence,Suggestive Themes",No Interactive Elements,"This is an adventure role-playing game in which players assume the role of a student caught shifting between a modern world and a fantasy world. From a ¾-overhead perspective, players interact with characters, explore dungeons, and battle fantasy creatures in melee-style combat. Battles are highlighted by impact sounds and colorful light effects. The dialogue contains references to innuendo and suggestive material, including romantic relations between a teacher and student (e.g., “I feel the same about you…But there''s a line we shouldn''t cross…If you''re that determined, then I will too…”; “They''re Throbbing Nuts...They''re nuts?! Hmm. I guess anything could be food here”; “I think it''s better you…get undressed…It means take your clothes off, silly”; “What do you mean assault you? But if that''s what you prefer…”)."
Goat Simulator 3,Nintendo Switch,T,"Crude Humor,Language,Violence",No Interactive Elements,"This is a simulation game in which players control a goat whose goal is to cause as much destruction as possible in an open-world environment. Players earn points by using the goat''s abilities (e.g., ramming, jumping, running) to destroy objects and complete challenges. Several stunts involve violence: electrocuting pedestrians; shooting fireballs at bystanders; detonating bombs; pushing humans off cliffs. Damage to humans is depicted by ragdoll effects, running and screaming, and getting set on fire. The game contains instances of crude humor (e.g., piles of manure; green clouds and flatulence sounds; characters vomiting objects and green liquids). The word “sh*t” appears in the dialogue."
Donkey Kong Country Returns HD,Nintendo Switch,E,Mild Fantasy Violence,No Interactive Elements,"This is a side-scrolling platformer in which players control Donkey Kong and Diddy Kong as they attempt to stop the evil Tiki. Players traverse whimsical platforms, using jumping moves and barrel attacks to defeat cartoony enemies (e.g., frogs, birds, tiki-mask creatures). Enemies generally disappear or fly off-screen when defeated. At the end of boss battles, players can repeatedly smack characters closer-up, causing them to get knocked into the distance."
Emio—The Smiling Man: Famicom Detective Club,Nintendo Switch,M,"Blood,Language,Violence",No Interactive Elements,"This is a simulation/adventure game in which players follow a junior detective as he collaborates with police and locals to find a killer. As players examine scenes and gather evidence from witnesses, they can ask various questions to uncover key story elements/backstory. Some cutscenes depict instances of violence: a father slapping his children; characters strangled; a human corpse hanging from a tie; a man using scissors to slice his face. Some scenes depict corpses lying in pools or trails of blood. The game contains plot points dealing with child abuse, murder, teen suicide and self-harm. The word “sh*t” appears in the game."
B-PROJECT RYUSEI*FANTASIA,Nintendo Switch,T,"Language,Mild Suggestive Themes",No Interactive Elements,"This is a visual novel in which players follow the story of a young A&R staff member dealing with members of an idol pop group. As players progress through the story, players learn about artists'' trainee days and the struggles they faced on the path to success. A handful of sequences can reference suggestive material (e.g., “It doesn''t feel like sparkling glass, or ''Oh no, you perv''""; “You''re sparkly, pervy, and stabby”; “Pinning the girl against the wall, lifting her chin, running your fingers through her hair…""; “You seduce the regular at the tea room...and end up fooling around with her.”). The words “sh*t” and “a*shole” appear in the game."
Arsène Lupin - Once A Thief,"PlayStation 5, Nintendo Switch",E10+,"Alcohol Reference,Mild Blood,Mild Language,Mild Violence,Use of Tobacco",No Interactive Elements,"This is an adventure game in which players follow the thief Arsene Lupin and detective Ganimard through puzzles and storylines. From a 3/4-overhead perspective, players interact with characters, deduce clues, and solve puzzles to progress the narrative. In one sequence, audio can be heard of characters fighting; one still image briefly depicts a man with a bloody bandage. One close-up image depicts a man smoking a pipe. The text in the game references alcohol (e.g., “liquor collection,” ""wine bottle”; “I''d hate to see a bottle of such fine wine go to waste.”). The word “hell” appears in the game."
Test Drive Unlimited Solar Crown,"Windows PC, PlayStation 5, Xbox Series",E10+,Lyrics,"Users Interact (PC,Xbox Series,PlayStation 5)","This is a racing game, set on the island of Hong Kong, in which players race through streets and other open-world environments. Players can explore the island while engaging in races to build reputation and earn money. Some song lyrics contain the words ""Goddamn,"" ""hell,"" and “a*s.”"
Lollipop Chainsaw RePOP,"PlayStation 5, Nintendo Switch, Xbox Series",M,"Blood and Gore,Drug Reference,Intense Violence,Sexual Themes,Strong Language",No Interactive Elements,"This is an action game in which players assume the role of Juliet Starling, a zombie-hunting cheerleader on a quest to uncover the root of a zombie outbreak. Players use chainsaws, explosive rounds, and special attacks (e.g., cheerleading routine moves; mowing down enemies with a crop harvester) to kill zombies in frenetic melee-style combat. Some attacks are highlighted by slow-motion effects and close-up camera angles; exaggerated blood splashes, dismemberment, and decapitation occur frequently. Cutscenes also depict over-the-top acts of violence: a zombie boss shooting himself in the head; characters getting sliced in half by chainsaws; Juliet punting a decapitated head in slow motion. Several jokes in the dialogue reference sexual material (e.g., “[She] had backdoor sex with over three hundred sailors""; “I regret those three b*kkake videos”; “I am so totally gonna masturbate to you tonight”; “Is it normal to have an erection as you die?”). Some sequences allude to drugs/drug use (e.g., “eight foot piles of cocaine”; “psilocybin-munching moron”). The words “f**k,” “sh*t,” and “c*cksucker” appear in the game."
Just Dance 2025 Edition,"PlayStation 5, Nintendo Switch, Xbox Series",E10+,Mild Lyrics,"Users Interact (Switch,Xbox Series,PlayStation 5)In-Game Purchases (Switch,Xbox Series,PlayStation 5)","This is a music-rhythm game in which players perform choreographed routines by following the movements of on-screen characters. Players score points by accurately dancing in time to the music and scrolling indicators. A handful of song lyrics contain the word “hell,” as well as references to suggestive material (e.g., “Yeah we hooked up""; “Lucky that my breasts are small""; ""I don''t like no whips and chains/And you can''t tie me down""; “The dirty talking it turns to play”)."
Pathfinder: Kingmaker - Definitive Edition,"PlayStation 4, Xbox One",T,"Blood and Gore,Language,Suggestive Themes,Use of Alcohol,Violence",No Interactive Elements,"This is a role-playing game in which players assume the role of a hero leading a group of adventurers on a quest through a fantasy world. From a 3/4-overhead perspective, players explore the land and engage in melee-style combat against human enemies and fantastical creatures (e.g., giant spiders, manticores). Characters use swords, bows, explosives, and magic spells to defeat enemies in combat. Battles are frenetic at times, accompanied by large blood-splatter effects that stain the environment; some attacks result in enemies exploding into chunks of flesh and bones. As players progress, they can engage in romantic relations with other companions; text/commands within these sequences can often be suggestive: “You could walk around naked bouncing your boobs“; Hold Octavia in return, putting your hand on her breast”; “But I only got dressed…Now you''ll have to help me take it all off again.” Players can also interact with drunken characters with slurred speech (e.g., “You don''t re… Hic…Really need me.”). The words “sh*t” and “a*shole” are heard in the game."
KEMCO RPG Selection Vol. 1,"PlayStation 5, Nintendo Switch",T,"Alcohol Reference,Fantasy Violence,Mild Suggestive Themes","In-Game Purchases (Switch,PlayStation 5)","This is a collection of four role-playing games in which players assume the roles of heroes on their respective journeys. From a ¾-overhead perspective, players search for treasure, interact with characters, and battle fantastical enemies (e.g., dragons, snakes, fairies, rock creatures). Players can choose physical attacks and magic spells from a menu to defeat enemies in turn-based combat. The dialogue contains references to suggestive material (e.g., “She''s a little more filled out than you”; “Let me go, you pervert! Deviant! Groper”; “More like I feel I''ve been facially molested by a cat”; “Hands off the merchandise, you.”). Some attack moves also include the names Pervert and You''re all Perverts. In one scene, players encounter a character described as an alcoholic and a passed-out drunk, with accompanying text (e.g., “She reeks of homebrew…and is wasted at that”; “Someone''s got to lay the smack down on this drunk”; “I think she''s had way too much to drink…”). The game also contains a quest to find whiskey for a character."
Harry Potter: Quidditch Champions,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",T,"Crude Humor,Fantasy Violence,Language,Mild Blood","Users Interact (PC,PlayStation 4,Xbox One,Switch,Xbox Series,PlayStation 5)In-Game Purchases (PC,PlayStation 4,Xbox One,Switch,Xbox Series,PlayStation 5)","This is an action game in which players compete in games of the fantasy game Quidditch. Broom-riding players can shift between players and positions during each game; one club-wielding defensive position (Beater) involves tackling opponents or hitting them with a ball (Bludger). Players'' health bars deplete after each tackle/hit; successful hits or tackles result in dizzy stars/brief stunning effects. One of the victory celebrations (Bludger Hit) depicts a character hit in the face, with a tooth and blood trail flying out from the mouth. Another victory celebration (Puking Pastilles) shows a character vomiting. The word “sh*t” appears in the game."
Born Of Bread,"PlayStation 5, Nintendo Switch",E10+,"Fantasy Violence,Language",No Interactive Elements,No Rating Summary
Funko Fusion,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox Series",T,"Blood,Fantasy Violence,Language",No Interactive Elements,"This is a third-person action game in which players help whimsical Funko figures liberate Funko World from an evil villain. Players explore game worlds from various franchises (e.g., Jurassic World, The Mummy, Jaws) while battling cartoony Funko creatures (e.g., dinosaurs, zombies, mummies). Players use machine guns, shotguns, and rifles to defeat enemies that break apart into pieces when defeated. Battles are fast-paced, accompanied by gunfire, explosions, and cries of pain. Some sequences depict more impactful instances of blood and violence: a crime scene with decapitated Funko characters in pools of blood; a shark repeatedly chomping down on a victim, resulting in large blood stains; a character decapitated, accompanied by large blood-splatter effects. One sequence depicts a Funko character with raised middle fingers."
World of Goo 2,"Linux, Macintosh, Windows PC, Nintendo Switch",T,"Mild Suggestive Themes,Mild Violence",No Interactive Elements,"This is a physics-based puzzle game in which players use balls of goo to create wobbly structures towards a pipe. A story mode allows players to follow a detective investigating a missing persons case. One sequence depicts a character dying after getting shot. The game contains some suggestive material: a red-light district sign reading ""XXX""; a character shaking their buttocks; a man feeling a character''s thigh; innuendo such as “He''s a...gentleman of the night"" and ""two hot bullets in a revolver...romantically permeated”)."
S.T.A.L.K.E.R. 2: Heart of Chornobyl,Xbox Series,M,"Blood and Gore,Intense Violence,Strong Language,Use of Alcohol and Tobacco",No Interactive Elements,"This is a first-person shooter in which players assume the role of a stalker investigating a mystery in a post-apocalyptic world. Players explore an open-world environment to complete objectives, interact with characters, and engage enemies (e.g., soldiers, mutated creatures) in frenetic firefights. Players use machine guns, rifles, and explosives to kill enemies that emit splatters of blood when shot. Some environments depict bloodstains on walls and large pools of blood underneath corpses. Anomalies in the environment can cause bodies and creatures to explode, resulting in chunks of flesh littering the ground; one sequence depicts decapitated heads on spikes. Players have the ability to kill civilians, though this can result in immediate retaliation from nearby characters; a cutscene depicts a bound man executed at close range. During the course of the game, players'' character can consume alcohol, resulting in screen-blurring effects and the character swaying; one cutscene depicts players'' character smoking a cigarette from a first-person perspective. The word “f**k” is heard in the game."
Faith: The Unholy Trinity,Nintendo Switch,T,"Blood and Gore,Drug Reference,Language,Suggestive Themes,Violence",No Interactive Elements,"This is a survival horror game in which players follow a priest trying to save a Connecticut community from demon possession during the 1980s. From a top-down perspective, players move small 8-bit characters around locations while searching for clues, solving puzzles, and exorcising demons. Cutscenes depict more close-up sequences of violence: a man stabbing himself in the eye; a creature chewing on a corpse''s flesh; police shooting a man repeatedly; a man using a syringe to stab a character. Several pixelated scenes depict bloodstained walls, floors, and/or corpses. The game contains some suggestive material: a reference to “child prostitute runaways”; a bloated naked figure, though with no discernible detail (i.e., no genitalia). Text also references drugs (e.g., “hooked on crack cocaine""). The English word ""whore"" and the Spanish word “p*ndejo” appear in the game."
Skinny & Franko: Fists of Violence,PlayStation 4,M,"Blood and Gore,Nudity,Sexual Themes,Strong Language,Use of Drugs,Violence",No Interactive Elements,No Rating Summary
Mario & Luigi Brothership,Nintendo Switch,E,Mild Fantasy Violence,No Interactive Elements,"This is an adventure platformer/role-playing game in which players control Mario and Luigi through an adventure on strange islands. From a 3D top-down perspective, players explore islands, solve puzzles, and fight cartoony enemies (e.g., onion creatures, turtle skeletons, giant plants). Combat is turn-based, with players selecting moves before watching characters take turns attacking/defending. Characters mostly use mallets, oversized bombs, and turtle shells to attack, while also jumping on enemies'' heads."
Nocturnal,"PlayStation 5, Nintendo Switch",T,"Blood,Violence",No Interactive Elements,No Rating Summary
Ufouria 2: The Saga,"PlayStation 5, Nintendo Switch",E,"Crude Humor,Mild Fantasy Violence",No Interactive Elements,"This is an adventure platformer in which players assume the role of a penguin attempting to thwart a villain''s evil plans. As players traverse whimsical environments, they defeat enemies by jumping on their heads or throwing creatures called Popoons at them. Boss battles include more protracted combat against larger enemies and are sometimes accompanied by slow-motion effects. One bird enemy is seen flying overhead, dropping cartoony poo coils."
Lempo,PlayStation 5,M,"Blood and Gore,Strong Language,Violence",No Interactive Elements,No Rating Summary
The Sims™ 4 Lovestruck,"Macintosh, Windows PC, PlayStation 4, Xbox One",T,"Crude Humor,Sexual Themes,Violence","Online Interactions Not Rated by the ESRB (MAC,PC,PlayStation 4,Xbox One)",No Rating Summary
The Sims™ 4 Lovestruck,Xbox Series,T,"Crude Humor,Sexual Themes,Violence",Users Interact (Xbox Series)In-Game Purchases (Xbox Series),No Rating Summary
Potionomics: Masterwork Edition,"PlayStation 5, Nintendo Switch, Xbox Series",E10+,"Crude Humor,Drug Reference,Mild Language,Suggestive Themes,Use of Alcohol",No Interactive Elements,"This is a simulation game in which players assume the role of a woman who runs a potion shop. Players brew and sell potions, interact with characters, and engage in dialogue sequences that are occasionally suggestive (e.g., “Do you think you can handle all this?”/“Oh I can handle it. In fact I''d like to”/“You thirsty thing.”). Some characters are also depicted wearing revealing outfits (e.g., deep cleavage). One interaction references animal excrement in a comical manner (e.g., “Is that…a poop journal”; “Corsac unceremoniously sticks a finger into the mound of excrement”; “Oh, it''s still warm.”). The game contains tongue-and-cheek comments about fantastical potion ingredients (e.g., Hallucinatory Shroom, Delirium Shroom, Pandemonium Shroom): ""This fungus is said to show you colors that don''t exist""; ""The magic of this mushroom is real. Any visions it induces are not""; ""Open your third eye to the universe''s truths, man."" Players sometimes interact with a drunk character with slurred speech. The words “damn” and “hell” appear in the game."
SNK VS. CAPCOM SVC CHAOS,"PlayStation 4, Nintendo Switch",T,"Blood,Mild Language,Suggestive Themes,Violence",No Interactive Elements,"This is a fighting game in which players engage in one-on-one combat with a large cast of human and supernatural characters. Players use martial-arts punches, kicks, throws, and special abilities (e.g., elemental attacks) to deplete opponents'' life meters in fast-paced combat. Some characters use swords, blades, fans, and laser blasts to deal damage against opponents. Battles are highlighted by impact sounds, cries of pain, and blood-splatter effects. Some female characters are designed with revealing outfits (e.g., bikinis, deep cleavage) and jiggling breasts; a Gallery Mode also depicts female characters with revealing outfits and exaggerated breast sizes. The word “bastard” appears in the game."
PO''ed: Definitive Edition,"Windows PC, PlayStation 5, Nintendo Switch",M,"Blood and Gore,Violence",No Interactive Elements,"This is a first-person shooter in which players assume the role of a chef stranded on an alien world. The game is depicted in a retro/pixelated art style, with players using laser guns, knives, flamethrowers, and drills to kill hordes of enemies (e.g., blobs, robots, buttocks-shaped creatures, aliens). Frenetic combat is highlighted by blood-splatter effects, explosions, and cries of pain. Enemies generally collapse into bloody chunks of pixelated flesh when killed. One cutscene depicts a handful of severed heads and assorted organs (e.g., hearts, brains, eyeballs)."
Tomba! Special Edition,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox Series",E10+,"Alcohol Reference,Crude Humor,Mild Fantasy Violence",No Interactive Elements,"This is an adventure platformer in which players follow a hero (Tomba) attempting to retrieve a stolen keepsake from evil pigs. From a side-scrolling perspective, players traverse whimsical environments while collecting fruit, performing quests, and defeating animal/monster enemies. Players use a spiked ball to knock out enemies; player can also grab and toss pigs into other characters. One mission involves fixing a pump to provide wine for a village. One level depicts pixelated cherub characters urinating on the ground; the cartoony cherubs'' pelvic regions and buttocks are briefly depicted."
