Game_Title,Consoles,ESRB_Rating,Content_Descriptors,Interactive_Elements,Content_Summary
Harvest Days,"PlayStation 5, Nintendo Switch",E,Use of Alcohol,No Interactive Elements,"This is a farming simulation game in which players grow crops, raise animals, and interact with village characters. Players can perform quests for villagers in order to increase friendships. Among dozens of items in the game, alcohol (e.g., beer, wine) can be purchased and consumed by players'' character."
Harry Potter: Quidditch Champions,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",T,"Crude Humor,Fantasy Violence,Language,Mild Blood","Users Interact (PC,PlayStation 4,Xbox One,Switch,Xbox Series,PlayStation 5)In-Game Purchases (PC,PlayStation 4,Xbox One,Switch,Xbox Series,PlayStation 5)","This is an action game in which players compete in games of the fantasy game Quidditch. Broom-riding players can shift between players and positions during each game; one club-wielding defensive position (Beater) involves tackling opponents or hitting them with a ball (Bludger). Players'' health bars deplete after each tackle/hit; successful hits or tackles result in dizzy stars/brief stunning effects. One of the victory celebrations (Bludger Hit) depicts a character hit in the face, with a tooth and blood trail flying out from the mouth. Another victory celebration (Puking Pastilles) shows a character vomiting. The word “sh*t” appears in the game."
S.T.A.L.K.E.R. 2: Heart of Chornobyl,Xbox Series,M,"Blood and Gore,Intense Violence,Strong Language,Use of Alcohol and Tobacco",No Interactive Elements,"This is a first-person shooter in which players assume the role of a stalker investigating a mystery in a post-apocalyptic world. Players explore an open-world environment to complete objectives, interact with characters, and engage enemies (e.g., soldiers, mutated creatures) in frenetic firefights. Players use machine guns, rifles, and explosives to kill enemies that emit splatters of blood when shot. Some environments depict bloodstains on walls and large pools of blood underneath corpses. Anomalies in the environment can cause bodies and creatures to explode, resulting in chunks of flesh littering the ground; one sequence depicts decapitated heads on spikes. Players have the ability to kill civilians, though this can result in immediate retaliation from nearby characters; a cutscene depicts a bound man executed at close range. During the course of the game, players'' character can consume alcohol, resulting in screen-blurring effects and the character swaying; one cutscene depicts players'' character smoking a cigarette from a first-person perspective. The word “f**k” is heard in the game."
Faith: The Unholy Trinity,Nintendo Switch,T,"Blood and Gore,Drug Reference,Language,Suggestive Themes,Violence",No Interactive Elements,"This is a survival horror game in which players follow a priest trying to save a Connecticut community from demon possession during the 1980s. From a top-down perspective, players move small 8-bit characters around locations while searching for clues, solving puzzles, and exorcising demons. Cutscenes depict more close-up sequences of violence: a man stabbing himself in the eye; a creature chewing on a corpse''s flesh; police shooting a man repeatedly; a man using a syringe to stab a character. Several pixelated scenes depict bloodstained walls, floors, and/or corpses. The game contains some suggestive material: a reference to “child prostitute runaways”; a bloated naked figure, though with no discernible detail (i.e., no genitalia). Text also references drugs (e.g., “hooked on crack cocaine""). The English word ""whore"" and the Spanish word “p*ndejo” appear in the game."
Skinny & Franko: Fists of Violence,PlayStation 4,M,"Blood and Gore,Nudity,Sexual Themes,Strong Language,Use of Drugs,Violence",No Interactive Elements,No Rating Summary
Ace Attorney Investigations Collection,"Windows PC, Nintendo Switch",T,"Blood,Mild Language,Mild Suggestive Themes,Mild Violence",No Interactive Elements,"This is a collection of two mystery-text adventure games in which players help a prosecutor solve a series of murders. As players investigate crime scenes in detail, cutscenes briefly depict characters shot (off-camera) or held at gunpoint. Murder victims are depicted with bloodstained clothing and gunshot/ knife wounds; some corpses are sometimes shown lying in pools of blood. One female character is depicted wearing a low-cut top that reveals deep cleavage. The word “bastard” appears in the game."
Super Mario Party Jamboree,Nintendo Switch,E,Mild Fantasy Violence,Users Interact (Switch)In-Game Purchases (Switch),"This is a collection of mini-games (party games) in which players compete to earn stars, coins, and rankings. As players engage in different modes (e.g., board game, rhythm games, puzzle-based games, flying games, mini-games), they encounter or participate in whimsical instances of fantasy violence: cartoony cannons/cannon turrets that shoot at giant characters; avoiding a robot with giant boxing gloves/fists; using over-sized hammers against each other; connecting electric circuits to zap a boss character. Damage is indicated by blinking, comical yelps, and/or dizzy star effects."
Total War: PHARAOH - Dynasties,Windows PC,T,"Alcohol Reference,Mild Language,Violence",No Interactive Elements,No Rating Summary
HUMANITY,"PlayStation 5, Xbox One, Xbox Series",E10+,Fantasy Violence,"Users Interact (Xbox One,Xbox Series,PlayStation 5)",No Rating Summary
Demon Slayer -Kimetsu no Yaiba- Sweep the Board!,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series",T,"Fantasy Violence,Language,Mild Blood,Mild Suggestive Themes",No Interactive Elements,"This is an adventure/party game in which players move characters around a game board while attempting to collect the most points. Some spots on the game board trigger brief battle sequences: players must match on-screen indicators, with correct timing, to perform slash attacks. Damage is indicated by slashing sounds, light effects, and cries of pain. One boss character attacks with Flying Blood Scythes, sending red, liquid-like slashes towards players. Some female characters are designed with revealing outfits (e.g., deep cleavage, bikinis in the battlefield). The word “sh*t” appears in the game."
Reel Fishing: Days of Summer,"Windows PC, PlayStation 5, Nintendo Switch",E,No Descriptors,No Interactive Elements,"This is a sports simulation game in which players follow three friends spending the last days of summer on a fishing trip. Players can craft their own rods, lures, and bait while capturing realistic fish."
Ara: History Untold,Windows PC,E10+,"Alcohol Reference,Mild Violence,Use of Tobacco",Users Interact (PC),"This is a strategy game in which players assume the role of an historical figure leading a nation through time. From an overhead perspective, players collect resources, manage economic and military growth, and battle rival nations. Players can select military units (e.g., footmen, spearmen, archers) that attack rival nations; players watch brief scenes of ground battles, which are highlighted by gunfire and explosions. One structure that players can build is a fermenting tent where beer, wine, and liquor can be produced. Character portraits sometimes depict historical figures with pipes and/or cigarettes in their mouths."
Glover (QUByte Classics),"PlayStation 5, Nintendo Switch",E,Mild Fantasy Violence,No Interactive Elements,"This is an adventure game in which players control a wizard''s magical glove as it searches for crystals to restore peace to a kingdom. Players traverse platform environments while collecting items, solving puzzles, and dispatching enemies. The players'' glove can pounce on enemies, throw objects at them, or trigger mechanisms for cartoony attacks (e.g., a giant boxing glove; oversized bombs). Characters typically react to damage by falling back or turning into a puff of stars."
SPYxANYA: Operation Memories,Windows PC,E10+,"Fantasy Violence,Mild Language,Mild Suggestive Themes",No Interactive Elements,"This is a collection of mini-games, based on the animated series Spy x Family, in which players assume the role of a young girl (Anya) unlocking mini-games during a family outing. Some mini-games allow players to engage in moderate acts of violence: a fighter using small swords and dramatic kicks to defeat waves of enemy thugs; a dodgeball game in which players throw balls at opponents to deplete energy/health; Anya running from men who throw oversized cartoony bombs. These action sequences are highlighted by impact sounds, explosions, and brief cries of pain. One sequence involves young Anya commenting on paintings with bare breasts (not depicted): “Papa, look! She has boobies, I can see them!” The word “damn” appears in the game."
Five Nights at Freddy''s: Help Wanted 2,PlayStation 5,T,Fantasy Violence,No Interactive Elements,"This is a collection of mini-games set in the Five Nights at Freddy''s universe. From a first-person perspective, players engage in various tasks (e.g., paint by numbers, first aid, repairing robots) inside a pizzeria filled with animatronics. The game contains frightening jump scares that typically occur when players do not complete tasks satisfactorily. Loud sound effects and shrieks accompany the tonally dark and immersive jump scares. One mini-game prompts players to hit a robot with a hammer, resulting in the robot shrieking as if in pain."
Age of Mythology: Retold,"Windows PC, Xbox One, Xbox Series",T,Fantasy Violence,"Users Interact (PC,Xbox One,Xbox Series)","This is a real-time strategy game in which players build a civilization to prominence. From a top-down perspective, players collect resources, manage their economic and military growth, and battle rival civilizations. Players command military units (e.g., soldiers, archers, cavalry) and mythological creatures (e.g., centaurs, minotaur, hydras) across a battlefield. Battles are mostly distant, with occasional zooming in; fighting is highlighted by cries of pain and sword-slashing effects. Players can use lightning strikes, tornados, and earthquakes to destroy buildings and units in God Mode. A handful of cutscenes depict monsters impaled by spears; one sequence briefly shows a severed head dropping out of a box."
Pool Party,"PlayStation 5, Nintendo Switch",E,Mild Fantasy Violence,No Interactive Elements,"This is a collection of party games in which players control billiard ball characters through whimsical sports and brawling games. As players engage in themed sports challenges, they can also participate in ""last-person standing"" events, in which characters kick opponents off platforms, into other balls, or into pool-table pockets. Damage is indicated by dizzy stars appearing after characters are kicked."
NEEDY STREAMER OVERLOAD,Nintendo Switch,M,"Blood,Sexual Themes,Strong Language,Use of Drugs,Violence",No Interactive Elements,No Rating Summary
TY the Tasmanian Tiger™ 4: Bush Rescue Returns™,Nintendo Switch,E10+,Fantasy Violence,No Interactive Elements,"This is an action platformer in which players assume the role of an animal protagonist (Ty) performing various tasks for Australian Outback locals. From a 2D side-scrolling perspective, players traverse environments, collect items/hidden treasure, avoid hazards/obstacles, and use boomerangs to defeat enemies (e.g., lizards, birds, giant insects). Enemies use cartoony weapons (e.g., mines, flamethrowers, missiles, over-sized guns) to attack Ty. Combat is highlighted by flame-like effects/explosions, impact sounds, and cries of pain. Some game modes prompt players to defeat hordes of enemies in fast-paced combat."
SunnySide,PlayStation 5,T,"Fantasy Violence,Language,Mild Suggestive Themes,Use of Alcohol and Tobacco",No Interactive Elements,"This is a role-playing simulation game in which players build a new life in the Japanese countryside. Players can build a homestead, cultivate resources/products, and establish relationships with various locals. Some expeditions trigger turn-based fights with impish creatures; players take turns using small projectiles or elemental attacks (e.g., bursts of flame, flares, ice attacks) to deplete opponents'' health bars. The game allows players to form romantic relationships with other characters (e.g., dates, outings); the dialogue can be somewhat suggestive (e.g., “I want dramatic, sexy adventures...I want unreasonable displays of affection”; “...[S]ince we''re both super hot…maybe we can go back to your place after this.” During the course of the game, players'' character can combine ingredients to brew beer and can sell it to local establishments; players'' character can also purchase and consume beer, wine, and cocktails. One character is often depicted with a cigarette in his mouth. The words “sh*t” and “a*shole” appear in the game."
The Smurfs - Village Party,"PlayStation 5, Nintendo Switch",E,Mild Fantasy Violence,No Interactive Elements,"This is an adventure party game in which players assume the role of a Smurf helping Papa Smurf throw a party. Players engage in various mini-games (e.g., collecting presents, stacking dishes), a handful of which may depict mild violence: characters shoving or using sticks to hit opponents--damage is indicated by stun effects and “dizzy stars.” Other mini-games require players to defeat a boss character by using crossbows and/or slingshots with targeting crosshairs."
White Day 2: The Flower That Tells Lies - Complete Edition,PlayStation 5,M,"Blood and Gore,Violence",No Interactive Elements,"This is a survival horror game in which players follow the story of four characters investigating a haunted high school. From a first-person perspective, players complete puzzles, collect items, and explore the school while advancing the story. Players can encounter ghosts and fantastical mannequins that can startle (e.g., jump scares) and chase down characters. Players must avoid enemies (e.g., officers, security) that chase down players and attack them using bats, clubs, and cleavers. Cutscenes depict additional acts of violence: a child strangling a woman; a possessed character using a piece of glass to cut her own throat (obscured by camera movement); a student falling to her death. Blood-splatter effects briefly appear on players'' screen as they are hit; in some environments, large blood stains appear near corpses. Some areas depict severed arms; gallery images can depict ghosts with exposed entrails."
Love Delivery,Nintendo Switch,M,"Sexual Themes,Strong Language",No Interactive Elements,"This is a visual novel in which players follow the story of a delivery man who works on his schedule and habits in order to start a relationship. As players progress through the story, they make dialogue/action choices that influence the narrative. Some still-images depict female characters in revealing outfits (e.g., deep cleavage, wet clothing that appears transparent) and/or in suggestive poses, with occasional camera zooms on characters'' chests. The game contains some suggestive/sexual references in the dialogue (e.g., “These amazing melons…clearly visible through a thin, wet shirt”; “This is as good as sex”; “The bed where we made love was stained with blood""; ""That little man there has been standing tall for a while”; “So what if impotence happens tonight?”). The word “f**k” appears in the game."
My Little Pony: A Zephyr Heights Mystery,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",E,No Descriptors,No Interactive Elements,"This is an adventure game in which players control My Little Pony characters through platform environments. From a top-down perspective, players collect stars, search for quest items, and attempt to solve a magical mystery."
Grounded: Fully Yoked Edition,"PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",T,"Blood,Mild Language,Violence","Users Interact (Xbox One,Switch,Xbox Series,PlayStation 5)","This is a survival-adventure game in which players control ant-sized humans in backyard environments. From first- and third-person perspectives, players search for resources, craft weapons, build shelters, and battle realistic, over-sized insects. Combat can be frenetic at times, with players using swords, clubs, and spears to attack insects that slash, bite, and spit at players. Human characters emit small splashes of blood when injured; insects emit splatters of green or yellow blood when killed. Players can also encounter a room full of decapitated and impaled ant heads, with green blood splatter on the ground. The words “p*ss off” appear in the text."
Wayfinder,Windows PC,T,Fantasy Violence,Users Interact (PC),"This is an action-adventure game in which players assume the roles of adventurers as they battle to push back evil forces in a fantasy kingdom. From a third-person perspective, players traverse ancient ruins and enemy strongholds to complete quests and battle fantastical creatures (e.g., goblins, giant spiders, slimes). Players use blades and swords to defeat enemy creatures in melee-style combat. Battles are frenetic, accompanied by impact sounds, screen-shaking effects, and bursts of light. A handful of quests allow players to target specific creatures/bosses, involving more protracted combat with larger creatures and/or hordes of enemies."
Star Wars: Galaxy of Heroes,Windows PC,E10+,"Fantasy Violence,Mild Suggestive Themes",Users Interact (PC)In-Game Purchases (Includes Random Items) (PC),"This is a role-playing game in which players create teams of characters and spaceships to compete in battles from the Star Wars universe. Battles are turn-based and take place in holographic environments of various locations. Players take turns using droids, spaceships, and human figures (e.g., Jedi knights, Sith lords) to attack other characters. Players use light sabers, blasters, and special attacks to deplete opponents'' health bars. Combat is highlighted by futuristic gunfire, explosions, and cries of pain. One female character is depicted in a revealing outfit (e.g., skimpy top, side-cleavage)."
Nancy Drew: Mystery of the Seven Keys,"Macintosh, Windows PC",E10+,Mild Violence,No Interactive Elements,"This is an adventure game in which players assume the role of Nancy Drew as she investigates a jewelry theft in Prague. From a first-person perspective, players can explore Prague to solve puzzles, search for clues, and interact with different characters. As players progress, they encounter sequences that depict brief instances of violence/mild peril: a character falling through scaffolding; a character coughing and knocked out by poison; a character getting electrocuted; a character using a dagger to threaten another person."
Super Monkey Ball Banana Rumble,Nintendo Switch,E,Mild Fantasy Violence,In-Game Purchases (Switch),"This is an action platformer in which players control a monkey inside a ball on a quest to find a legendary banana. Players roll through stages, avoid traps, collect bananas, and occasionally engage in multiplayer matches (e.g., Battle mode). Throughout the game, players can use various power ups (e.g., rockets, ice blasts, baseball bats) against characters (e.g., robots); some characters yelp out when hit and fly through the air from explosions. In Battle mode, players can use a cartoony missile to knock other players away."
Atelier Resleriana: Forgotten Alchemy and the Polar Night Liberator,Windows PC,T,"Fantasy Violence,Suggestive Themes",In-Game Purchases (Includes Random Items) (PC),"This is a role-playing game in which players assume the roles of an alchemist and an adventurer as they seek to uncover the truth about their world. From a third-person perspective, players explore environments, interact with characters, and battle human and fantastical enemies (e.g., alchemists, assassins, golems, dragons) in turn-based combat. Characters use swords, hammers, bombs, and magic to defeat enemies. Battles are highlighted by impact sounds and explosions/fiery blasts. Some female characters are designed with large breasts and revealing outfits (e.g., deep cleavage, partially exposed breasts in a hot springs); other characters are depicted with breast-jiggling effects and/or camera angles that pan up their bodies."
Lorelei and the Laser Eyes,"Windows PC, Nintendo Switch",T,"Alcohol Reference,Blood,Language,Mild Violence",No Interactive Elements,"This is a puzzle/adventure game in which players assume the role of a woman summoned to a mysterious hotel to find a killer. Players explore the hotel''s maze-like interior while solving puzzles and uncovering clues about inhabitants. As players search the hotel, they can encounter a victim''s body lying in a pool of blood; other areas also depict blood-like drops on the ground. Some interactions with characters can result in players being held at gunpoint and asked a riddle; incorrect answers can result in players'' character being shot offscreen. The game contains a puzzle sequence that requires players to identify and interact with specific wine bottles in a wine cellar; the text also references alcohol (e.g., “How many types of cocktails does Hotel Letztes Jahr serve?”). The word “sh*t” appears in the game."
Hyper-5,PlayStation 5,E10+,"Fantasy Violence,Mild Blood",No Interactive Elements,No Rating Summary
Xuan-Yuan Sword: Mists Beyond the Mountains,Nintendo Switch,T,"Blood,Fantasy Violence,Mild Language,Sexual Themes,Use of Alcohol",No Interactive Elements,No Rating Summary
ONE PIECE ODYSSEY Deluxe Edition,Nintendo Switch,T,"Mild Language,Suggestive Themes,Use of Tobacco,Violence",In-Game Purchases (Switch),"This is an action-adventure game in which players follow the story of shipwrecked characters from the One Piece comic and animated series. As players explore a mysterious island, they engage in turn-based battles with enemy pirates/thugs and occasional large creatures. Players choose attack moves/skills from a menu before watching short animations of characters punching/kicking, using swords or pistols, or throwing fireballs/bursts of energy. Characters cry out in pain when injured, and damage is indicated by dwindling health meters/hit points. Cutscenes contain more dramatic instances of violence: characters using fire attacks on each other, as one appears to get killed; a man shooting a pistol at a young character at close range. The game contains some suggestive material: female characters designed with revealing outfits (e.g., low-cut tops, deep cleavage); close-up camera views of characters'' chests; text/dialogue such as ""The golden ration of exposed buttock"" and “Their long exposure to humans has given them a perverted response to naked women.” One recurring character named Smoker is depicted with two cigars in his mouth. The word “bastard” appears in the game."
The Library of Babel,"PlayStation 5, Nintendo Switch",M,"Blood,Strong Language,Violence",No Interactive Elements,No Rating Summary
Disney Epic Mickey: Rebrushed,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",E10+,Fantasy Violence,No Interactive Elements,"This is an adventure game in which players assume the role of Mickey Mouse as he attempts to stop villains from destroying a magical world. From a third-person perspective, players explore twisted versions of Disney attractions (e.g., Neverland, Haunted Mansion) that have been overrun by enemies (e.g., ink blobs, animatronic characters). Players use a magic paintbrush to battle enemies, spraying projectile paint/thinner to make them friendly or melt away. Players can also hop on enemies'' heads and/or perform spin attacks, stunning and knocking creatures back. Combat is often frenetic, accompanied by cries of pain and impact sound effects. Some cutscenes contain tonally dark moments: a character abducted into a mirror; a character restrained, while threatened with a drill and chainsaw."
Gravity Circuit,"PlayStation 5, Nintendo Switch",E10+,Fantasy Violence,No Interactive Elements,No Rating Summary
Tengoku Struggle -Strayside-,Nintendo Switch,T,"Alcohol and Tobacco Reference,Blood,Fantasy Violence,Language,Sexual Themes",No Interactive Elements,"This is a visual novel in which players assume the role of a Hell Guardian trying to capture Hell''s escaped prisoners. A handful of still-screen images can depict violence and blood: a character slashing men off-screen, with screaming sounds; a character burning to death; a character with blood-splattered clothing/face; blood splashes on the screen. The game contains sexual references in the dialogue (e.g., “That night, I was defiled by many other monks, right in front of him”; “…[T]o give a woman honor means to drag them into their bed”; “We went and had so much sex right away”; “Take off your panties, then put your hands against the wall.”). Dialogue also references alcohol (e.g., being drunk/wasted; wine, sake, booze), as well as tobacco (e.g., ""He took out a cigarette and savored a puff.""). The words “sh*t” and “a*shole” appear in the game."
Toaplan Arcade Garage: Kyukyoku Tiger-Heli,"PlayStation 4, Nintendo Switch",E10+,Fantasy Violence,No Interactive Elements,"This is a collection of ten arcade-style action games in which players control helicopters and robots through levels of enemies. Most games allow players to control helicopters that shoot projectiles at enemies (e.g., planes, tanks, drones); games are presented from a top-down, scrolling perspective, highlighted by explosions and gunfire. One side-scrolling game allows players to control a robot soldier that punches and uses laser fire to attack enemies; the beat-''em-gameplay depicts depleting health bars, various attacks (e.g., Speed Punch, Fire Punch, Super Punch), and protracted boss battles."
Ugly,Nintendo Switch,T,"Blood,Fantasy Violence,Mild Language,Sexual Themes,Use of Alcohol",No Interactive Elements,"This is a puzzle platformer in which players assume the role of a prince battling his inner demons while reflecting on a life of abuse and cruelty. From a 2D side-scrolling perspective, players explore a fantastical mansion while searching for keys, solving puzzles, and unlocking memories. Boss characters sometimes attempt to crush players and/or menace them with fire. Some areas depict small corpses, bloodstained walls, and torture devices. One sequence briefly depicts a character with shards of glass embedded in its face, with blood dripping from wounds. One level depicts a dungeon with sexual and BDSM paraphernalia: a sex swing hanging from the ceiling; sex toys on bookshelves; bondage tools in the corner. A central gameplay mechanic involves players'' character resetting the puzzle by drinking a bottle of alcohol, as a hazy, blurry effect appears each time. The word “bastard” appears in the game."
Cupid Parasite: Sweet and Spicy Darling,Nintendo Switch,T,"Fantasy Violence,Language,Mild Blood,Sexual Themes,Use of Alcohol and Tobacco",No Interactive Elements,"This is a visual novel in which players follow the story of Lynette Mirror and her experiences with romantic relationships. Players can follow several storylines while making choices that affect the course of their relationships. Some choices lead to depictions of violence: a female demon impaled by magical arrows; a character spitting out blood after being impaled (off screen). Other choices lead to sequences containing sexual material, largely conveyed through text/dialogue (e.g., “He slipped a finger into my mouth…He traced his tongue along the nape of my neck”: ""I felt the zipper of my skirt being undone""; “His rough tongue glided over my body as he nibbled on me.”). One sequence references a character''s husband''s lack of virility (e.g., “It was so…soft and deflated”; “Clearly [he] had been searching for a solution…a solution on how to get it up again.”). The game depicts prolonged sequences of social drinking, resulting in characters getting drunk, with slurred speech (e.g., “Before I knew it, everyone was wasted”; “Everyone else continued to chug alcohol.""). Another sequence references a drunk character being taking advantage of (e.g., “In my inebriated state, I couldn''t stand up properly...He seized this vulnerable moment when my yearnings for companionship overpowered me.”). In one sequence, a demon can be seen holding a smoking pipe. The word “bullsh*t” appears in the game."
The Plucky Squire,"PlayStation 5, Nintendo Switch, Xbox Series",E10+,Fantasy Violence,No Interactive Elements,"This is an action-adventure game in which players follow the story of a squire who explores 2D and 3D realms while trying to save his friends. Players traverse platform environments, solve puzzles, and fight whimsical enemies (e.g., goblins, birds, badgers). Players use a small sword to strike cartoony enemies that disappear into puffs of smoke when defeated. One mini-game depicts an exaggerated boxing match, with characters punching and dodging to defeat each other; action is highlighted by impact sounds, brief cries of pain, and screen-shaking effects."
SaGa: Emerald Beyond,Windows PC,T,"Fantasy Violence,Mild Language,Suggestive Themes",No Interactive Elements,"This is a role-playing game in which players assume the roles of heroes completing quests in fantasy worlds. Players explore new worlds, interact with characters, and engage in turn-based combat with human and fantastical enemies (e.g., insect creatures, dragons, robots). Players select melee-style attacks, weapons (e.g., swords, axes, daggers, pistols), and magic from a menu to defeat enemies. Battles are highlighted by impact sounds, colorful light effects, and brief slow-motion effects. Some female characters are designed with revealing outfits (e.g., deep cleavage, partially exposed buttocks); the camera occasionally pans/focuses on their bodies. The text/dialogue also includes suggestive material (e.g., “More than friends but less than lovers…”; “…was too busy hooking up with Fred…”; “…one of them must spend a ''night of service'' with him.”). The words “bastard” and “p*ss” appear in the game."
