Game_Title,Consoles,ESRB_Rating,Content_Descriptors,Interactive_Elements,Content_Summary
Turbo Overkill,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch",M,"Blood and Gore,Intense Violence,Strong Language",No Interactive Elements,"This is a first-person shooter in which players assume the role of a futuristic bounty hunter (Johnny Nitro) trying to prevent a powerful AI from taking over a city. Players infiltrate building/facilities and use a chainsaw-like weapon, pistols, and electric shotguns to kill enemies (e.g., cyborgs, street punks). The frenetic run-and-gun combat is accompanied by realistic gunfire, large explosions, and frequent blood-splatter effects. Some attacks result in dismemberment/decapitation, causing bloody chunks to stain/litter the environment. Cutscenes depict additional acts of violence and blood/gore: a cyborg thug''s entrails used as a tool; a first-person view of a character''s hands blown off. The word “f**k” is heard in the game."
HUMANITY,"PlayStation 5, Xbox One, Xbox Series",E10+,Fantasy Violence,"Users Interact (Xbox One,Xbox Series,PlayStation 5)",No Rating Summary
Demon Slayer -Kimetsu no Yaiba- Sweep the Board!,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series",T,"Fantasy Violence,Language,Mild Blood,Mild Suggestive Themes",No Interactive Elements,"This is an adventure/party game in which players move characters around a game board while attempting to collect the most points. Some spots on the game board trigger brief battle sequences: players must match on-screen indicators, with correct timing, to perform slash attacks. Damage is indicated by slashing sounds, light effects, and cries of pain. One boss character attacks with Flying Blood Scythes, sending red, liquid-like slashes towards players. Some female characters are designed with revealing outfits (e.g., deep cleavage, bikinis in the battlefield). The word “sh*t” appears in the game."
Dragon Quest III HD-2D Remake,"Windows PC, PlayStation 5, Nintendo Switch, Xbox Series",E10+,"Alcohol Reference,Fantasy Violence,Mild Blood,Mild Language,Suggestive Themes",No Interactive Elements,"This is a 2D role-playing game in which players lead adventurers on a quest to stop an evil villain. From a 3/4-overhead perspective, players explore a pixelated fantasy world, complete quests, interact with characters, and engage in turn-based combat against small humans and creatures (e.g., dragons, slimes, skeletons). Players can choose weapon strikes and magic attacks (e.g., flame breathe, lightning slash) from a menu to defeat enemies; battles are highlighted by impact sounds, cries of pain, and screen-shaking effects. Some sequences depict brief instances of violence and/or blood: villagers set on fire; a man burned by a dragon, resulting in small bloody wounds. The game contains some suggestive material: female characters wearing bunny outfits; innuendo in the dialogue (e.g., “I wish to give you the priceless gift of puff-puff""; “Come now will you follow me to my private chambers”; “Do not tease me so, my sweet!""). Dialogue also contains some references to alcohol (e.g., “Bring out the grog.”). The word “hell” and ""bastard sword"" appear in the game."
Life is Strange: Double Exposure,"Windows PC, PlayStation 5, Nintendo Switch, Xbox Series",M,"Mild Blood,Strong Language,Suggestive Themes,Use of Drugs,Violence",No Interactive Elements,"This is an adventure game in which players assume the role of a time-jumping photographer (Max Caufield) trying to prevent a murder. From a third-person perspective, players explore locations around a college campus while interacting with characters. As players progress through the storyline, they are presented with dialogue and action choices. Some choices cause characters to engage in acts of violence (e.g., a character shooting someone in the shoulder). Blood is depicted on one character''s clothes and on the ground after a shooting. The game contains some suggestive material: black-and-white photos of female characters (fully clothed) lying in vulnerable positions; two characters playing Smash or Pass; dialogue referencing sex (e.g., ""a high ratio of f**kable faculty""; “Did you get laid even once?”). During the course of the game, some characters are seen smoking marijuana. The words “f**k,” “sh*t,” and “a*shole” appear in the game."
Reel Fishing: Days of Summer,"Windows PC, PlayStation 5, Nintendo Switch",E,No Descriptors,No Interactive Elements,"This is a sports simulation game in which players follow three friends spending the last days of summer on a fishing trip. Players can craft their own rods, lures, and bait while capturing realistic fish."
Ara: History Untold,Windows PC,E10+,"Alcohol Reference,Mild Violence,Use of Tobacco",Users Interact (PC),"This is a strategy game in which players assume the role of an historical figure leading a nation through time. From an overhead perspective, players collect resources, manage economic and military growth, and battle rival nations. Players can select military units (e.g., footmen, spearmen, archers) that attack rival nations; players watch brief scenes of ground battles, which are highlighted by gunfire and explosions. One structure that players can build is a fermenting tent where beer, wine, and liquor can be produced. Character portraits sometimes depict historical figures with pipes and/or cigarettes in their mouths."
The Smurfs - Dreams,"PlayStation 5, Nintendo Switch",E,Mild Fantasy Violence,No Interactive Elements,"This is a 3D platformer game in which players enter dream worlds to free Smurfs struck by a sleeping curse. From an overhead perspective, players explore Smurfs'' dreams, traverse platforms, and occasionally defeat enemy creatures. Players can jump on enemies'' heads, throw fruit at them, and use an oversized hammer to attack enemies. Boss battles involve more protracted combat, as players toss objects to deplete boss characters'' health bars."
Touhou Luna Nights,"PlayStation 5, Nintendo Switch, Xbox Series",E10+,"Fantasy Violence,Mild Blood,Mild Language",No Interactive Elements,No Rating Summary
Glover (QUByte Classics),"PlayStation 5, Nintendo Switch",E,Mild Fantasy Violence,No Interactive Elements,"This is an adventure game in which players control a wizard''s magical glove as it searches for crystals to restore peace to a kingdom. Players traverse platform environments while collecting items, solving puzzles, and dispatching enemies. The players'' glove can pounce on enemies, throw objects at them, or trigger mechanisms for cartoony attacks (e.g., a giant boxing glove; oversized bombs). Characters typically react to damage by falling back or turning into a puff of stars."
Gigantosaurus: Dino Sports,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",E,Mild Fantasy Violence,No Interactive Elements,"This is a party game in which players control dinosaurs competing in sports-themed mini-games. A handful of mini-games depict mild instances of violence: players hit by falling rocks while climbing; players shooting fruit into the mouths of plants, accompanied by a targeting reticule (i.e., crosshairs); players hit by fruit, briefly staining the screen."
The House Of The Dead 2: Remake,Nintendo Switch,M,"Blood and Gore,Violence",No Interactive Elements,"This is a rail shooter light gun game in which players assume the role of an agent in search of a missing colleague in Venice, Italy. From a first-person perspective, navigate through the city while using pistols to shoot and kill zombies and mutant creatures. Killing creatures often results in decapitation and/or dismemberment, with large blood-splatter effects. Combat is often fast paced, accompanied by gunfire, screams of pain, and large explosions. A handful of sequences depict civilians attacked and killed by enemy creatures."
Cat Quest II,Nintendo Switch,E10+,Fantasy Violence,No Interactive Elements,No Rating Summary
Cat Quest,Nintendo Switch,E10+,Fantasy Violence,No Interactive Elements,No Rating Summary
Death Trick: Double Blind,Nintendo Switch,M,"Mild Blood,Mild Violence,Strong Language",No Interactive Elements,"This is a visual novel/adventure game in which players assume the role of a detective investigating a murder in a circus. Players can study the crime scene, collect evidence, and interact with various characters and witnesses. A still-image of the crime scene depicts a corpse, with bloodstained clothing and a weapon protruding from their torso. Other still-images depict instances of violence and/or mild blood: a character beaten up, resulting in a bloody nose; a character stabbed with scissors; zoomed in depictions of the crime scene. The word “f**k” appears in the game."
Koumajou Remilia Ⅱ: Stranger''s Requiem,Nintendo Switch,T,"Blood,Fantasy Violence,Mild Suggestive Themes,Use of Alcohol",No Interactive Elements,No Rating Summary
Fitness Boxing feat. HATSUNE MIKU,Nintendo Switch,E,No Descriptors,No Interactive Elements,"This is a fitness/rhythm-based game in which players perform boxing routines by following timed prompts along with music. Players earn points by matching Hatsune Miku and her friends'' various on -screen movements (e.g., jabs, uppercuts, dodges)."
Hubris,PlayStation 5,T,"Animated Blood,Violence",No Interactive Elements,"This is a first-person shooter in which players assume the role of a new recruit searching an alien planet for a missing agent. Players explore environments while solving puzzles, collecting resources, and crafting objects (e.g., weapons, tools). Players use blasters, torpedo guns, and machine guns to kill alien creatures or human adversaries/soldiers. Gunfights can be fast paced, as multiple figures exchange gunfire, dissolving when killed. Squid-like enemies explode into purple liquid and severed tentacle limbs; players can then use squid parts to craft certain tools (e.g. inserting organic squid parts into a processor to make rope). Egg-like spider aliens also burst into yellow-splatter effects when killed."
Alan Wake 2 Deluxe Edition,"Windows PC, PlayStation 5, Xbox Series",M,"Blood and Gore,Intense Violence,Nudity,Strong Language",No Interactive Elements,"This is a survival-horror game in which players assume the roles of an FBI agent working murder cases and a writer trapped in a nightmare reality. From a third-person perspective, players explore open-world environments, interact with characters, solve puzzles, and battle humans and supernatural creatures. Players use various light sources (e.g., flashlights, flares, flashbangs) to weaken enemies, and use pistols and shotguns to kill them. Combat is highlighted by realistic gunfire, explosions, and blood-splatter effects; shooting enemies sometimes results in exposed entrails and large wounds. Cutscenes also depict instances of violence/blood: a character stabbed multiple times; a bloody, nude character dragged and tied to a table; a character''s chest cut open and heart removed; live-action footage of characters shot in the head at close range. During the course of the game, one male character is depicted nude, with exposed genitalia and buttocks. The words “f**k” and “sh*t” appear in the game."
New World: Aeternum,Windows PC,T,"Alcohol Reference,Blood,Mild Language,Violence",Users Interact (PC)In-Game Purchases (PC),"This is a massively multiplayer online (MMO) role-playing game in which players assume the role of a 17th-century settler in a new land. From a third-person perspective, players explore an open-world environment, gather resources, build shelters, and create weapons to survive. Players use spears, bows, and swords to kill humans and fantasy creatures (e.g., ghosts, skeletons, zombies) in melee-style combat. Large blood-splatter effects occur as characters attack enemies; cries of pain and impact sounds accompany the frenetic combat. The game includes numerous references to alcohol (e.g., wine, mead, sake); a handful of missions prompt players to fetch alcohol products (e.g., ""Collect Bottles of Old World Wine""). The word “bastard” appears in the game."
Sker Ritual,"PlayStation 5, Xbox Series",M,"Blood and Gore,Violence","In-Game Purchases (Xbox Series,PlayStation 5)","This is a first-person shooter in which players assume the role of a man attempting to survive a zombie onslaught during the 1910s. Players explore an island environment, complete objectives, solve puzzles, and battle zombie-like creatures in frenetic combat. Players use machine guns, rifles, crossbows, and melee weapons to kill hordes of zombies. Battles are accompanied by realistic gunfire, large explosions, and large blood-splatter effects. Some attacks can result in the decapitation of enemies. One sequence depicts viscera and entrails in a room full of corpses; another sequence requires players to collect severed heads in order to unlock a door."
Monster Hunter Stories,"Windows PC, Nintendo Switch",E10+,"Crude Humor,Fantasy Violence,Mild Language","Users Interact (PC,Switch)","This is an adventure role-playing game in which players assume the role of a monster rider on a quest to save a village from an evil force. From a third-person perspective, players explore a fantasy world, complete quests, interact with characters, and battle humans and fantastical creatures (e.g., dragons, dinosaurs, giant insects). Players can select various weapon attacks (e.g., sword slashes, club attacks) and monster attacks (e.g., speed attacks, flame breath) from a menu to defeat enemies in turn-based combat. Battles are accompanied by explosions, colorful light effects, and impact sounds. During the course of the game, players can encounter a creature that uses a Foul Gas move to emit a brown flatulence attack; one scene depicts a character eating dumplings, alluded to be made of feces (“Are those…balls of Steamed Moss?”; “[Y]ou mean Hot Spring Dumplings are actually…”; “Ewwwww!”). The phrase “helluva” appears in the game."
Construction Simulator 4,Nintendo Switch,E,No Descriptors,Users Interact (Switch),This is a simulation game in which players complete construction missions while using real-world machines and equipment. Players can run their own construction company and expand their fleet by completing jobs and upgrading contracts.
Fashion Police Squad,"PlayStation 4, PlayStation 5",T,"Fantasy Violence,Sexual Themes",No Interactive Elements,No Rating Summary
TY the Tasmanian Tiger™ 4: Bush Rescue Returns™,Nintendo Switch,E10+,Fantasy Violence,No Interactive Elements,"This is an action platformer in which players assume the role of an animal protagonist (Ty) performing various tasks for Australian Outback locals. From a 2D side-scrolling perspective, players traverse environments, collect items/hidden treasure, avoid hazards/obstacles, and use boomerangs to defeat enemies (e.g., lizards, birds, giant insects). Enemies use cartoony weapons (e.g., mines, flamethrowers, missiles, over-sized guns) to attack Ty. Combat is highlighted by flame-like effects/explosions, impact sounds, and cries of pain. Some game modes prompt players to defeat hordes of enemies in fast-paced combat."
SunnySide,PlayStation 5,T,"Fantasy Violence,Language,Mild Suggestive Themes,Use of Alcohol and Tobacco",No Interactive Elements,"This is a role-playing simulation game in which players build a new life in the Japanese countryside. Players can build a homestead, cultivate resources/products, and establish relationships with various locals. Some expeditions trigger turn-based fights with impish creatures; players take turns using small projectiles or elemental attacks (e.g., bursts of flame, flares, ice attacks) to deplete opponents'' health bars. The game allows players to form romantic relationships with other characters (e.g., dates, outings); the dialogue can be somewhat suggestive (e.g., “I want dramatic, sexy adventures...I want unreasonable displays of affection”; “...[S]ince we''re both super hot…maybe we can go back to your place after this.” During the course of the game, players'' character can combine ingredients to brew beer and can sell it to local establishments; players'' character can also purchase and consume beer, wine, and cocktails. One character is often depicted with a cigarette in his mouth. The words “sh*t” and “a*shole” appear in the game."
The Smurfs - Village Party,"PlayStation 5, Nintendo Switch",E,Mild Fantasy Violence,No Interactive Elements,"This is an adventure party game in which players assume the role of a Smurf helping Papa Smurf throw a party. Players engage in various mini-games (e.g., collecting presents, stacking dishes), a handful of which may depict mild violence: characters shoving or using sticks to hit opponents--damage is indicated by stun effects and “dizzy stars.” Other mini-games require players to defeat a boss character by using crossbows and/or slingshots with targeting crosshairs."
RKGK / Rakugaki,Windows PC,T,"Fantasy Violence,Mild Language",No Interactive Elements,"This is an adventure platformer in which players assume the role of a graffiti artist trying to save a city from an evil corporation''s control. From a third-person perspective, players run and jump around the city while using paint/art to light up environments and save citizens. Players can dispatch robot enemies or turrets by using dash attacks. During boss battles, players must evade projectiles, explosions, and lasers; bosses are defeated via players'' spray-painting attacks. The words “pr*ck” and “a*s” appear in the game."
